Exp,gamma,reg_param,aspect_ratio,convexity,order_parameter,density_parameter,R2_exp_fit,growth_rate
Experimental,,,0.499920281,0.911275217,0.766416734,0.923407013,0.962419922,0.700208861
Experimental,,,0.454112527,0.643382498,0.791785002,0.868185009,0.958971036,0.681923557
Experimental,,,0.501575933,0.843748083,0.790188097,0.88998242,0.969228486,0.751698832
Experimental,,,0.712842007,0.763888175,0.785130198,0.887353818,0.97281743,0.791646208
Experimental,,,0.347516366,0.867083541,0.818314573,0.916424528,0.927188893,0.696702962
Experimental,,,0.294258942,0.999533214,0.910114753,0.925071401,0.984149665,0.750203664
Experimental,,,0.351767818,0.794393372,0.920953165,0.881895294,0.94624285,0.653238161
Experimental,,,0.458834612,0.652723117,0.750527816,0.919917864,0.978820791,0.787665649
Experimental,,,0.522742941,0.669729474,0.744474866,0.854965585,0.968138652,0.84337089
Experimental,,,0.237767715,0.925602455,0.869507487,0.890889816,0.96009064,0.738420975
Experimental,,,0.54348047,0.761591246,0.770693136,0.891838798,0.918395719,0.612258017
Experimental,,,0.538840532,0.663831426,0.821673524,0.899940075,0.98017693,0.704953772
Experimental,,,0.379624323,0.710680166,0.770239881,0.895032153,0.972419641,0.706969194
Experimental,,,0.417194938,0.755214056,0.72268261,0.864653059,0.955437425,0.640954319
Experimental,,,0.714192494,0.731794685,0.79522346,0.91998527,0.988978002,0.697864224
Experimental,,,0.591766388,0.547228272,0.808037879,0.894377633,0.989066818,0.715850984
Experimental,,,0.43305134,0.744297531,0.73940663,0.896858684,0.992043781,0.771878736
Experimental,,,0.321652014,0.820495707,0.770153481,0.870064194,0.981495051,0.732748854
Experimental,,,0.72353333,0.625341684,0.776527823,0.883760773,0.983600181,0.690190962
Experimental,,,0.901458193,0.780245758,0.720426548,0.888845992,0.980669141,0.703637938
Experimental,,,0.736304724,0.690581324,0.787159686,0.909261168,0.983090624,0.732700016
Experimental,,,0.795796096,0.656869669,0.749399039,0.881134501,0.984049738,0.744785197
Experimental,,,0.479211908,0.745687709,0.828959419,0.882836136,0.988208897,0.768650324
Experimental,,,0.365113304,0.916064051,0.753310867,0.887303829,0.993567107,0.916676998
Experimental,,,0.586576548,0.573009695,0.791221956,0.892659769,0.983608195,0.870646765
Experimental,,,0.697806691,0.930176945,0.740789828,0.893146117,0.989055913,0.891614084
Experimental,,,0.641203667,0.720003078,0.796297447,0.90902074,0.975050315,0.841015821
Experimental,,,0.603973063,0.757095758,0.823664472,0.884656852,0.973915276,0.812165393
Experimental,,,0.413414526,0.890770419,0.827143984,0.892966733,0.967554205,0.806696453
Experimental,,,0.649940877,0.741326418,0.780004175,0.889115646,0.971477019,0.867444573
Experimental,,,0.645283423,0.748175657,0.828007517,0.922174503,0.989328338,0.931380255
Experimental,,,0.592019965,0.798349518,0.801872718,0.899116557,0.981114822,0.865783635
